sim_time,camera_id,camera_lon,camera_lat,plate,vehicle_lon,vehicle_lat,speed_mps,camera_name,is_hub
8.0,CAM_29,80.248178,12.958318,TN74PS9365,80.24785069436412,12.958432947850515,8.1,Besant Nagar,False
229.0,CAM_14,80.234501,12.968029,TN74PS9365,80.233317238895,12.968076797691563,7.08,Kodambakkam,True
9.0,CAM_06,80.230206,12.930177,TN15XF9441,80.2299252933842,12.930268410122487,10.22,Mylapore,False
10.0,CAM_06,80.230206,12.930177,TN15XF9441,80.22987520799762,12.930284707735861,5.72,Mylapore,False
209.0,CAM_11,80.244867,12.946557,TN15XF9441,80.24556270035536,12.946451930225653,23.42,Nungambakkam,False
10.0,CAM_04,80.256707,12.976241,TN12ZD2395,80.25678875764245,12.97660958404551,14.04,Guindy,False
10.0,CAM_20,80.237149,12.960329,TN42EV8355,80.23709387538325,12.96064634629006,13.18,Navalur,True
13.0,CAM_01,80.232791,12.93105,TN27WZ6130,80.2328354217722,12.931572891097261,7.05,T. Nagar,True
425.0,CAM_14,80.234501,12.968029,TN27WZ6130,80.233266984079,12.968080814927276,12.1,Kodambakkam,True
15.0,CAM_20,80.237149,12.960329,TN54ZW2672,80.23708473496868,12.960600284341439,10.07,Navalur,True
16.0,CAM_20,80.237149,12.960329,TN54ZW2672,80.23709524315073,12.960654773652552,6.13,Navalur,True
156.0,CAM_14,80.234501,12.968029,TN54ZW2672,80.23328783157329,12.968079148435486,12.88,Kodambakkam,True
16.0,CAM_09,80.231463,12.933895,TN68DA4848,80.23182549894537,12.933836004428677,12.98,Sholinganallur,False
17.0,CAM_09,80.231463,12.933895,TN68DA4848,80.23190517867157,12.933823044322864,8.76,Sholinganallur,False
352.0,CAM_10,80.239807,12.972429,TN68DA4848,80.23975856809487,12.972011061399112,14.41,Tambaram,False
16.0,CAM_30,80.24246,12.967245,TN22ZS6479,80.24235754729828,12.966378235987888,11.04,ECR Junction,True
17.0,CAM_30,80.24246,12.967245,TN22ZS6479,80.24235062201372,12.96631949831049,6.54,ECR Junction,True
17.0,CAM_10,80.239807,12.972429,TN70BL5396,80.2397662033103,12.972077314802682,9.06,Tambaram,False
18.0,CAM_10,80.239807,12.972429,TN70BL5396,80.23976033853597,12.972026424130915,5.66,Tambaram,False
135.0,CAM_30,80.24246,12.967245,TN70BL5396,80.24234509788513,12.966274132091105,19.64,ECR Junction,True
4510.0,CAM_11,80.244867,12.946557,TN70BL5396,80.24551619163343,12.946459007224735,19.48,Nungambakkam,False
18.0,CAM_14,80.234501,12.968029,TN95UJ7417,80.23333957132083,12.968075012493943,11.91,Kodambakkam,True
19.0,CAM_14,80.234501,12.968029,TN95UJ7417,80.23326588386442,12.968080902875379,8.02,Kodambakkam,True
1014.0,CAM_27,80.250549,12.929216,TN95UJ7417,80.24974382794198,12.9293097947974,12.83,Saidapet,False
19.0,CAM_27,80.250549,12.929216,TN09RM9876,80.24978520450304,12.929305419677771,10.63,Saidapet,False
20.0,CAM_27,80.250549,12.929216,TN09RM9876,80.24972897896194,12.929311364913287,6.13,Saidapet,False
20.0,CAM_07,80.257903,12.982212,TN75QR2809,80.25807846516173,12.983000753794485,8.3,Perungudi,False
223.0,CAM_16,80.24499,12.953731,TN75QR2809,80.24543732898533,12.953568061515599,13.99,Chromepet,False
20.0,CAM_08,80.232721,12.940488,TN79FA6480,80.23322894731966,12.940328704266626,11.88,Thoraipakkam (OMR),False
245.0,CAM_05,80.243039,12.961718,TN79FA6480,80.24311658290343,12.961405082692403,10.79,Anna Nagar,False
23.0,CAM_27,80.250549,12.929216,TN62SS4868,80.24979969509565,12.929303887454202,9.57,Saidapet,False
24.0,CAM_27,80.250549,12.929216,TN62SS4868,80.24973898145981,12.929310307259538,6.62,Saidapet,False
24.0,CAM_01,80.232791,12.93105,TN03BM4871,80.2328318542731,12.931530735571789,10.43,T. Nagar,True
25.0,CAM_01,80.232791,12.93105,TN03BM4871,80.23283637761969,12.931584185913911,5.93,T. Nagar,True
24.0,CAM_29,80.248178,12.958318,TN76BM7139,80.2478987823401,12.95841504690496,13.88,Besant Nagar,False
25.0,CAM_29,80.248178,12.958318,TN76BM7139,80.24777729360969,12.95846027891801,14.09,Besant Nagar,False
159.0,CAM_03,80.246489,12.950698,TN76BM7139,80.24617860279162,12.950718048023148,13.25,Velachery,True
25.0,CAM_10,80.239807,12.972429,TN02KM2195,80.23976556408674,12.972071768039854,9.92,Tambaram,False
26.0,CAM_10,80.239807,12.972429,TN02KM2195,80.23975973312686,12.972021170786173,5.63,Tambaram,False
26.0,CAM_06,80.230206,12.930177,TN27ZC6904,80.22988261440837,12.930282297715905,7.12,Mylapore,False
333.0,CAM_14,80.234501,12.968029,TN27ZC6904,80.23330067132723,12.968078122059758,6.37,Kodambakkam,True
28.0,CAM_04,80.256707,12.976241,TN25UZ8428,80.25679107993224,12.97662000741919,12.83,Guindy,False
342.0,CAM_14,80.234501,12.968029,TN25UZ8428,80.23330417189027,12.968077842233955,13.87,Kodambakkam,True
28.0,CAM_10,80.239807,12.972429,TN99NT3511,80.23976117589633,12.972033690196913,7.48,Tambaram,False
28.0,CAM_21,80.237092,12.950649,TN26XY3855,80.23767871620079,12.950519009645776,5.29,Siruseri,False
173.0,CAM_11,80.244867,12.946557,TN26XY3855,80.24553403503187,12.946456293891822,20.66,Nungambakkam,False
385.0,CAM_27,80.250549,12.929216,TN26XY3855,80.24977403315607,12.929306600926424,5.11,Saidapet,False
31.0,CAM_17,80.239777,12.972432,TN35QV5387,80.23981998599064,12.972801711157675,7.9,Pallavaram,False
264.0,CAM_25,80.248526,12.971435,TN35QV5387,80.24951488264571,12.971103355451692,11.04,Pallikaranai,False
32.0,CAM_01,80.232791,12.93105,TN98CA1918,80.23283179983925,12.931530092351357,9.67,T. Nagar,True
33.0,CAM_01,80.232791,12.93105,TN98CA1918,80.23283585296655,12.931577986325538,5.32,T. Nagar,True
32.0,CAM_26,80.229575,12.966912,TN32AX3854,80.23054247736064,12.96689486498724,8.1,Alandur,False
33.0,CAM_25,80.248526,12.971435,TN77NC9488,80.24944194107077,12.971122130817959,9.77,Pallikaranai,False
34.0,CAM_25,80.248526,12.971435,TN77NC9488,80.24949242257702,12.971109136738972,5.66,Pallikaranai,False
307.0,CAM_01,80.232791,12.93105,TN77NC9488,80.23283745722308,12.931596943097034,12.14,T. Nagar,True
34.0,CAM_17,80.239777,12.972432,TN32SR3492,80.23982007577423,12.972802490975027,4.82,Pallavaram,False
35.0,CAM_17,80.239777,12.972432,TN32SR3492,80.23982482526553,12.972843742772703,4.59,Pallavaram,False
170.0,CAM_30,80.24246,12.967245,TN32SR3492,80.24235658331648,12.966370059855533,21.46,ECR Junction,True
171.0,CAM_30,80.24246,12.967245,TN32SR3492,80.24233238867032,12.966170790745082,22.2,ECR Junction,True
5753.0,CAM_03,80.246489,12.950698,TN32SR3492,80.24624849671082,12.950703305979026,1.89,Velachery,True
5754.0,CAM_03,80.246489,12.950698,TN32SR3492,80.24623884836774,12.95070487060276,1.06,Velachery,True
5755.0,CAM_03,80.246489,12.950698,TN32SR3492,80.24623401257819,12.950705928327995,0.54,Velachery,True
5756.0,CAM_03,80.246489,12.950698,TN32SR3492,80.24623248200629,12.950706263107751,0.17,Velachery,True
5759.0,CAM_03,80.246489,12.950698,TN32SR3492,80.24623096636665,12.95070659462138,0.03,Velachery,True
